feature,importance
bedrooms,0.12157143414860672
bathrooms,0.09678738058504162
cleaning_fee,0.08556375487284497
Boat,0.08517268952896448
extra_people,0.08439309600966033
security_deposit,0.07127342939683898
minimum_nights,0.04658851850846144
beds,0.04306044444632198
availability,0.0418241640061765
availability_365,0.03365694221844929
Entire home/apt,0.030961540375110917
number_of_reviews,0.01717345655175279
Hair dryer,0.01413760833942154
within a day,0.01121590345956936
maximum_nights,0.010532098008860704
Elevator in building,0.010338611753882027
Kitchen,0.008349657473910492
First aid kit,0.008338056755881926
guests_included,0.007566136834165976
Suitable for events,0.007158909923814115
Laptop friendly workspace,0.006885073148340541
Breakfast,0.005711386508944032
Lock on bedroom door,0.005666198364998154
24-hour check-in,0.00546584645615825
Iron,0.005244509812929449
within an hour,0.00502908917411088
review_scores_rating,0.004472402333175373
Buzzer/wireless intercom,0.004406124470958464
Shampoo,0.004213549896955443
Indoor fireplace,0.004196027533501411
Other,0.004043755750226828
Hangers,0.004009697180459391
guests_included,0.003943943031062714
review_scores_value,0.003794148189184508
review_scores_location,0.0037163626002792998
Doorman Entry,0.0037069280842602593
House,0.003519629353103476
Essentials,0.0034872038097317577
Free parking on premises,0.0032230164309637434
Cable TV,0.0031996760799779707
Gym,0.002996636778375874
flexible,0.002966375354041064
strict,0.0026852968276553603
Internet,0.0026058527926934925
Room-darkening shades,0.00252427306297614
guest,0.002469200979590945
Hot tub,0.0024520500462834635
moderate,0.0024400432590913792
smoking,0.0023396098196381814
Pool,0.0022715191531650115
Doorman,0.0021915324832689543
Apartment,0.002001269153272915
Carbon monoxide detector,0.0019381489928278833
review_scores_cleanliness,0.0018685367544151888
Dryer,0.0018369745382272207
Condominium,0.0018183487391399957
Private entrance,0.0017819850742681067
Wheelchair accessible,0.0017486166677669341
within a few hours,0.001725411969868772
Safety card,0.0017234916672238599
Wireless Internet,0.001703221583688152
Family/kid friendly,0.0016857252616330185
party,0.0016630796411675017
Fire extinguisher,0.0016517764882529968
Smoke detector,0.0016010610627418798
Self Check-In,0.001518531549193648
pet,0.0013857788884563194
Heating,0.0013383711850480512
Washer,0.00130824141651029
Boutique hotel,0.0013056884349590297
Pets allowed,0.0012889815936091853
TV,0.0012347446094137053
Private room,0.0010388265744267291
Bathtub,0.0008963485580786323
Dog(s),0.0008888377552933387
a few days or more,0.000882577436673512
Loft,0.0008577571414716477
Pets live on this property,0.0008192924231166508
Townhouse,0.0007948343129306906
Smartlock,0.0007851498788117164
Lockbox,0.0007491606664469999
Smoking allowed,0.0006732988518032
review_scores_checkin,0.0006174635664131618
Air conditioning,0.0005915113892400566
review_scores_communication,0.0005835625895469723
Keypad,0.0005197466964202901
Shared room,0.0004841593262700531
Bed & Breakfast,0.0003908949344746567
Private living room,0.000353831223954226
Futon,0.0003528705407327051
Pack ’n Play/travel crib,0.00023343354739900526
High chair,0.00020847679246260492
Children’s books and toys,0.00018115664664516894
Guesthouse,0.0001756767249635381
Real Bed,0.0001595838845877863
Cat(s),0.00014319065346723027
super_strict_30,0.0001331696858607936
Couch,0.0001052975329669363
Refrigerator,0.00010436944874282338
Microwave,9.242826960966214e-05
Bed linens,9.176789385591827e-05
Extra pillows and blankets,6.372090983711668e-05
Oven,6.227965537332518e-05
Hot water,5.796830310823789e-05
Cooking basics,4.2989188953914464e-05
Dishes and silverware,4.200707214356812e-05
Timeshare,3.14170319719819e-05
Villa,3.090229190793155e-05
Stove,2.676908527066405e-05
Pull-out Sofa,2.1220028080903468e-05
Airbed,1.6088039306787188e-05
In-law,1.0534721560121355e-05
Dorm,9.785038647144233e-06
Vacation home,2.8154302210489886e-06
Bungalow,2.0656903148825776e-06
Hostel,6.214197579595116e-07
super_strict_60,6.119235852465383e-07
Guest suite,5.921456903133088e-07
Serviced apartment,1.5984207947681404e-07
